source,size,get,error,kallisto,compute,all
cpp,10k, 0, 2, 42, 4, 48
cpp,100k, 2, 29, 47, 25, 103
cpp,1m, 18, 292, 70, 164, 544
cpp,5m, 90, 1259, 80, 134, 1563
cpp,10m, 183, 3020, 75, 90, 3368
py,10k, 23, 5, 42, 160, 230
py,100k, 24, 26, 48, 157, 255
py,1m, 51, 246, 78, 200, 575
py,5m, 171, 3566, 228, 338, 4303

